# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 333a8062599c89ea
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":false,"y_SZ":0.0}
1.160451812155007198e+07 9.933157434943846731e-01 0.000000000000000000e+00
1.215423456535459310e+07 9.934445273957054345e-01 0.000000000000000000e+00
1.272999157072523609e+07 9.935859829800216536e-01 0.000000000000000000e+00
1.333302270244670287e+07 9.937413478743100104e-01 0.000000000000000000e+00
1.396461996037534624e+07 9.939111809643091933e-01 0.000000000000000000e+00
1.462613654756076634e+07 9.940958845479075379e-01 0.000000000000000000e+00
1.531898976949623041e+07 9.942979558847955257e-01 0.000000000000000000e+00
1.604466407070890814e+07 9.945204850046611700e-01 0.000000000000000000e+00
1.680471421519609168e+07 9.947616832828314326e-01 0.000000000000000000e+00
1.760076861752187833e+07 9.950182125747211170e-01 0.000000000000000000e+00
1.843453283171037212e+07 9.952916812713826777e-01 0.000000000000000000e+00
1.930779320541143045e+07 9.955840643233836440e-01 0.000000000000000000e+00
2.022242070716715232e+07 9.958943686271326534e-01 0.000000000000000000e+00
2.118037493497940898e+07 9.962203447494907271e-01 0.000000000000000000e+00
2.218370831476723030e+07 9.965604740940390283e-01 0.000000000000000000e+00
2.323457049770824239e+07 9.969118764059324844e-01 0.000000000000000000e+00
2.433521296588684618e+07 9.972712570186971215e-01 0.000000000000000000e+00
2.548799385611532256e+07 9.976330804541564401e-01 0.000000000000000000e+00
2.669538301226441562e+07 9.979929158615148399e-01 0.000000000000000000e+00
2.795996727692684904e+07 9.983439441982303597e-01 0.000000000000000000e+00
2.928445603375167400e+07 9.986802139654104016e-01 0.000000000000000000e+00
3.067168701232454926e+07 9.989931180164132174e-01 0.000000000000000000e+00
